ID,initalWeight,experimentType,odor,concentration,trial,totalCorrect,totalAttempts,controlCorrect,controlAttempts,datetime
2140,18.1,100-0,pinene,.00001,27,123,178,11,19,2.11.2021 14:54:57
2141,19.1,100-0,pinene,0.0001,27,81,122,8,12,2.2.2021 17:14:00
2148,17.9,100-0,2pe,0.0001,27,85,131,11,15,3.24.2021 14:36:41
2151,21.21,100-0,benzaldehyde,0.01,27,33,90,6,9,4.20.2021 20:43:03
2139,19.2,100-0,pinene,0.01,28,74,88,3,10,1.20.2021 17:08:55
2140,17.76,100-0,pinene,0,28,143,188,11,21,2.12.2021 15:24:46
2141,18.5,100-0,pinene,0.0001,28,96,150,10,18,2.3.2021 17:29:48
2148,17.4,100-0,2pe,0.0001,28,95,145,8,16,3.25.2021 14:22:45
2151,20.36,100-0,benzaldehyde,0.1,28,1,65,2,7,4.21.2021 16:35:09
2139,18.5,100-0,pinene,0.01,29,100,139,6,15,1.21.2021 16:11:54
2140,19.1,100-0,pinene,0,29,154,199,8,21,2.18.2021 12:36:16
2141,18.3,100-0,pinene,0.0001,29,98,152,12,17,2.4.2021 17:23:52
2148,17.0,100-0,2pe,0.0001,29,90,121,10,13,3.26.2021 16:00:36
2151,19.2,100-0,benzaldehyde,0.1,29,10,76,4,9,4.22.2021 17:21:26
2139,18.0,100-0,pinene,0.001,30,87,145,9,16,1.22.2021 18:54:48
2140,18.6,100-0,pinene,0,30,91,187,16,22,2.19.2021 13:53:07
2141,18.2,100-0,pinene,0.0001,30,110,151,6,17,2.5.2021 16:14:39
2148,19.49,100-0,2pe,0.0001,30,26,43,5,6,4.2.2021 14:52:51
2151,19.0,100-0,benzaldehyde,0.1,30,56,98,9,11,4.23.2021 17:56:07
2139,NaN,100-0,pinene,0.001,31,49,70,7,8,1.25.2021 15:53:23
2140,19.5,100-0,pinene,1,31,91,181,8,20,2.22.2021 16:03:13
2141,18.0,100-0,pinene,0.00001,31,90,131,9,14,2.9.2021 16:51:54
2148,20.58,100-0,2pe,0.0001,31,9,18,2,3,4.5.2021 15:15:17
2139,18.7,100-0,pinene,0.001,32,96,117,7,13,1.26.2021 15:19:38
2140,18.0,100-0,vanillin,1,32,26,93,0,9,2.24.2021 15:16:47
2141,18.4,100-0,pinene,0.00001,32,111,130,8,15,2.10.2021 16:20:47
2148,18.5,100-0,2pe,0.0001,32,66,88,6,8,4.7.2021 13:17:10
2139,18.1,100-0,pinene,0.0001,33,103,180,9,20,1.27.2021 18:00:45
2140,19.2,100-0,vanillin,1,33,81,164,10,18,2.24.2021 12:48:08
2141,18.0,100-0,pinene,0.00001,33,130,163,7,16,2.11.2021 15:42:15
2148,17.4,100-0,2pe,0.0001,33,126,138,13,15,4.9.2021 13:48:37
2139,17.7,100-0,pinene,0.0001,34,111,165,7,18,1.28.2021 16:33:55
2140,18.16,100-0,vanillin,1,34,80,156,6,18,2.25.2021 16:21:59
2141,18.0,100-0,pinene,0,34,134,169,7,19,2.12.2021 16:08:57
2139,17.8,100-0,pinene,0.0001,35,90,125,11,13,1.29.2021 13:54:18
2140,18.4,100-0,vanillin,1,35,75,150,12,18,2.26.2021 14:08:59
2141,19.1,100-0,pinene,0,35,93,141,9,15,2.18.2021 13:21:11
2139,19.5,100-0,pinene,0.0001,36,24,33,2,4,2.1.2021 17:24:33
2140,20.50,100-0,vanillin,1,36,76,144,7,16,3.2.2021 15:03:49
2141,18.8,100-0,pinene,0,36,55,146,13,16,2.19.2021 14:37:29
2139,19.2,100-0,pinene,0.0001,37,74,96,5,12,2.2.2021 15:44:21
2140,19.8,100-0,vanillin,1,37,81,157,8,19,3.3.2021 15:28:00
2141,20.4,100-0,pinene,1,37,64,133,6,14,2.22.2021 16:49:07
2139,18.6,100-0,pinene,0.0001,38,145,189,9,22,2.3.2021 14:56:57
2140,18.85,100-0,vanillin,1,38,57,108,5,12,3.4.2021 15:33:56
2141,19.8,100-0,vanillin,1,38,45,107,4,12,2.23.2021 17:35:59
2139,18.1,100-0,pinene,0.0001,39,124,159,9,17,2.4.2021 16:00:35
2140,18.0,100-0,2pe,0.01,39,124,178,4,20,3.5.2021 15:05:15
2141,18.6,100-0,vanillin,1,39,61,128,9,14,2.24.2021 13:32:26
2139,18.5,100-0,pinene,0.0001,40,120,154,10,18,2.5.2021 14:48:42
2140,19.8,100-0,2pe,0.01,40,133,156,9,18,3.8.2021 15:20:08
2141,17.8,100-0,vanillin,1,40,60,123,11,16,2.25.2021 17:10:36
2139,18.4,100-0,pinene,0.00001,41,119,155,9,18,2.9.2021 15:20:29
2140,19.2,100-0,2pe,0.01,41,148,187,11,21,3.9.2021 15:02:09
